accommodationId,coordinates.latitude,coordinates.longitude,details.name,details.stars,details.address.first,details.address.last,title
16374516,45.64373016357422,8.864775657653809,Doubletree By Hilton Milan Malpensa Solbiate Olona,4,"Via Per Busto Arsizio 7,","21058 Solbiate Olona, VA, Italia",hotel 4*
1697603,44.83393859863281,9.73671817779541,Torre Del Barbagianni - Castello Di Gropparello,0,"via Roma 84,","29025 Gropparello, PC, Italia",hotel
2034702,46.1168327331543,8.292621612548828,Albergo Corona,3,"Via G. Marconi 8,","28845 Domodossola, VB, Italia",hotel 3*
27267164,46.1158561706543,8.29219913482666,Locanda Piemonte Da Sciolla,0,"Piazza della Convenzione 4,","28845 Domodossola, VB, Italia",hotel
1209045,37.64146041870117,14.873872756958008,Hotel Casale Dei Greci,3,"Viale Cristoforo Colombo 127,","95033 Biancavilla, CT, Italia",hotel 3*
16414653,37.649635314941406,14.885676383972168,Agrihotel Croce Vallone,3,"Contrada Croce Vallone Sn,","95033 Biancavilla, CT, Italia",hotel 3*
16450002,37.62853240966797,14.888588905334473,Hotel Ristorante Paradise,4,"Via Alcide De Gasperi 39,","95038 Santa Maria di Licodia, CT, Italia",hotel 4*
63337656,37.66494369506836,14.960108757019045,Locanda Milia,0,"Contrada, Str. Milia, Villaggio Valentino CT 30,","95030 Ragalna, CT, Italia",hotel
133264,39.100955963134766,16.53716468811035,Il Semaforo Sila Hotel,0,"Contrada Pantane 13,","88055 Taverna, CZ, Italia",hotel
29275974,38.99075698852539,16.499256134033203,Agrihotel Papaya,0,"C.da Pasqualazzo 52,","88040 San Pietro Apostolo, CZ, Italia",hotel
67955920,39.050777435302734,16.34897232055664,Hotel Ristorante Caligiuri,3,"Piazza della Vittoria 5c,","88041 Decollatura, CZ, Italia",hotel 3*
25870611,39.15886688232422,16.480857849121094,Hotel Grandinetti,0,"Contrada Bocca di Piazza N°1, Parenti,","87040 Parenti, CS, Italia",hotel
16711340,39.080528259277344,16.557296752929688,Parco Dei Pini - Sila Wellness Hotel,4,"Viale Eugenio Mancuso 56  Loc. Villaggio Mancuso,","88055 Taverna, CZ, Italia",hotel 4*
1587845,39.07456970214844,16.51381492614746,Parco Hotel Granaro,3,"Contrada Granaro Sorbo San Basile,","88050 Sorbo San Basile, CZ, Italia",hotel 3*
51198183,45.44572448730469,8.623908042907715,Hotel Tornielli 9,3,"9 Via dei Tornielli 9,","28100 Novara, NO, Italia",hotel 3*
